mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_loss,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0819638729095459,0.0017172036058299709,0.0,0.0,hinge,l1,1e-05,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 1e-05}",,,,,,,,24
0.08250346183776855,0.0018031546137302719,0.0,0.0,hinge,l1,0.0001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.0001}",,,,,,,,22
0.07936058044433594,0.0006677532903615411,0.0,0.0,hinge,l1,0.001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.001}",,,,,,,,21
0.07900915145874024,0.00221305776304863,0.0,0.0,hinge,l1,0.01,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.01}",,,,,,,,20
0.07761406898498535,0.000393065636201661,0.0,0.0,hinge,l1,0.1,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.1}",,,,,,,,19
0.07800784111022949,0.0008069451224259172,0.0,0.0,hinge,l1,1,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 1}",,,,,,,,23
3.8385441303253174,0.31427809059935413,0.016991329193115235,0.00043310138672816937,hinge,l2,1e-05,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 1e-05}",0.8536845852616589,0.857066571733713,0.8565325738697045,0.8549305802776789,0.8556425774296903,0.8555713777144891,0.0011945860972276648,2
3.3381464958190916,0.060364818932525634,0.01680645942687988,4.80179043234934e-05,hinge,l2,0.0001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.0001}",0.8536845852616589,0.857066571733713,0.8565325738697045,0.8549305802776789,0.8556425774296903,0.8555713777144891,0.0011945860972276648,2
3.1039895534515383,0.3131638482354251,0.016810226440429687,0.0006372048006393225,hinge,l2,0.001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.001}",0.8536845852616589,0.857066571733713,0.8565325738697045,0.8549305802776789,0.8556425774296903,0.8555713777144891,0.0011945860972276648,2
1.5494252681732177,0.0897024146877585,0.01643815040588379,0.00043562929382703105,hinge,l2,0.01,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.01}",0.8536845852616589,0.857066571733713,0.8565325738697045,0.8548415806336774,0.8556425774296903,0.8555535777856889,0.001204622592786664,5
1.244330596923828,0.07162139623417392,0.0175875186920166,0.00039947101159807323,hinge,l2,0.1,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.1}",0.8536845852616589,0.8572445710217159,0.8563545745817017,0.8554645781416874,0.8557315770736917,0.8556959772160913,0.0011774891711314724,1
0.9337746143341065,0.041860894215187364,0.017035436630249024,0.0007789833769032046,hinge,l2,1,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 1}",0.8527945888216447,0.8551975792096832,0.8551975792096832,0.855375578497686,0.8549305802776789,0.8546991812032753,0.0009628428861729111,6
0.07599105834960937,0.0011750716539620848,0.0,0.0,squared_hinge,l1,1e-05,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 1e-05}",,,,,,,,13
0.07516565322875976,0.00038480190239812215,0.0,0.0,squared_hinge,l1,0.0001,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.0001}",,,,,,,,14
0.07641654014587403,0.0009158650957403899,0.0,0.0,squared_hinge,l1,0.001,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.001}",,,,,,,,15
0.07935972213745117,0.0010982764969290708,0.0,0.0,squared_hinge,l1,0.01,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.01}",,,,,,,,16
0.076381254196167,0.001794047300387822,0.0,0.0,squared_hinge,l1,0.1,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.1}",,,,,,,,17
0.07558317184448242,0.0007255793585322991,0.0,0.0,squared_hinge,l1,1,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 1}",,,,,,,,18
2.4301618576049804,0.3775720031960622,0.018349313735961915,0.0027240717082152627,squared_hinge,l2,1e-05,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 1e-05}",0.848433606265575,0.8549305802776789,0.8531505873976504,0.8534175863296547,0.8480776076895692,0.8516019935920255,0.002801213427338436,9
2.1275762557983398,0.2835440861903883,0.01818699836730957,0.0015458689166858333,squared_hinge,l2,0.0001,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.0001}",0.848433606265575,0.8549305802776789,0.8531505873976504,0.8534175863296547,0.8480776076895692,0.8516019935920255,0.002801213427338436,9
1.799013900756836,0.03802726019266327,0.01720876693725586,0.0004798801458084994,squared_hinge,l2,0.001,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.001}",0.848433606265575,0.8549305802776789,0.8531505873976504,0.8533285866856533,0.8480776076895692,0.8515841936632252,0.0027898797774173157,11
1.6092204093933105,0.09254894554824458,0.01758570671081543,0.0012094494841899698,squared_hinge,l2,0.01,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.01}",0.8483446066215735,0.8550195799216803,0.8534175863296547,0.8533285866856533,0.8480776076895692,0.8516375934496262,0.0028629679053714737,8
1.3911211490631104,0.03496770093478789,0.017648601531982423,0.00043238542326916085,squared_hinge,l2,0.1,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.1}",0.8485226059095764,0.8548415806336774,0.8535065859736561,0.8535955856176576,0.8482556069775721,0.851744393022428,0.0027812353150564605,7
