mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.5326212882995605,0.1528226633376894,0.026130199432373047,0.00842526908283698,0.5,10,lbfgs,"{'C': 0.5, 'max_iter': 10, 'solver': 'lbfgs'}",0.6634923460306159,0.6465824136703453,0.6541473834104664,0.6561053755784977,0.6434674261302955,0.6527589889640442,0.007110754090573038,81
31.176485347747803,3.945658347076301,0.026330327987670897,0.005628438526001918,0.5,10,newton-cg,"{'C': 0.5, 'max_iter': 10, 'solver': 'newton-cg'}",0.8203097187611249,0.8241367034531862,0.8213777144891421,0.8213777144891421,0.8179067283730865,0.8210217159131364,0.0020083179362860005,11
1.5929898738861084,0.03899952739993423,0.02154569625854492,0.000481329980715253,0.5,10,sag,"{'C': 0.5, 'max_iter': 10, 'solver': 'sag'}",0.7282840868636525,0.736561053755785,0.7272160911356355,0.7237451050195799,0.724813100747597,0.7281238875044499,0.0045204109864866475,80
8.86887855529785,0.17686504168313177,0.028323984146118163,0.003763568889466,0.5,50,lbfgs,"{'C': 0.5, 'max_iter': 50, 'solver': 'lbfgs'}",0.7961908152367391,0.8023317906728373,0.7999288002847988,0.8023317906728373,0.7993058027767889,0.8000177999288003,0.002274633115091481,67
217.40289769172668,22.080891710959342,0.031316184997558595,0.008639300484790549,0.5,50,newton-cg,"{'C': 0.5, 'max_iter': 50, 'solver': 'newton-cg'}",0.8214667141331434,0.8233357066571734,0.8247597009611961,0.8246707013171948,0.8211107155571378,0.823068707725169,0.0015425463896969309,2
6.9039417743682865,0.09105547051476484,0.02074260711669922,0.0003986906568388238,0.5,50,sag,"{'C': 0.5, 'max_iter': 50, 'solver': 'sag'}",0.7756318974724101,0.7783018867924528,0.7795478818084728,0.772872908508366,0.7753648985404058,0.7763438946244215,0.0023499951106535277,75
17.53883113861084,0.14891927765211851,0.03031926155090332,0.0034945168042291017,0.5,100,lbfgs,"{'C': 0.5, 'max_iter': 100, 'solver': 'lbfgs'}",0.8132787468850124,0.8151477394090424,0.8188857244571022,0.8139017443930224,0.8131007475970096,0.8148629405482378,0.0021355464114505376,42
212.47344608306884,22.227175239506856,0.02652888298034668,0.001352592465364983,0.5,100,newton-cg,"{'C': 0.5, 'max_iter': 100, 'solver': 'newton-cg'}",0.8214667141331434,0.8233357066571734,0.8247597009611961,0.8246707013171948,0.8211107155571378,0.823068707725169,0.0015425463896969309,2
13.584481811523437,0.25699080342145175,0.020334291458129882,0.0004976548049820653,0.5,100,sag,"{'C': 0.5, 'max_iter': 100, 'solver': 'sag'}",0.7907618369526522,0.7944108223567106,0.7947668209327162,0.788625845496618,0.7879138483446066,0.7912958348166607,0.0028496568627671866,69
44.0612961769104,1.1256464132418293,0.029923486709594726,0.005271568950962593,0.5,250,lbfgs,"{'C': 0.5, 'max_iter': 250, 'solver': 'lbfgs'}",0.8214667141331434,0.822623709505162,0.823068707725169,0.8235137059451763,0.8163047347810609,0.8213955144179422,0.0026349907427691455,10
216.74441566467286,17.537431861257392,0.026927804946899413,0.0024429076465759497,0.5,250,newton-cg,"{'C': 0.5, 'max_iter': 250, 'solver': 'newton-cg'}",0.8214667141331434,0.8233357066571734,0.8247597009611961,0.8246707013171948,0.8211107155571378,0.823068707725169,0.0015425463896969309,2
32.26687774658203,0.8416276945602991,0.020147180557250975,0.0007457540099823334,0.5,250,sag,"{'C': 0.5, 'max_iter': 250, 'solver': 'sag'}",0.8055357778568886,0.8071377714489142,0.8082057671769313,0.802064791740833,0.8021537913848344,0.8050195799216804,0.0025238265396605353,64
80.53818855285644,1.8005629766893998,0.02513265609741211,0.0007464803547804506,0.5,500,lbfgs,"{'C': 0.5, 'max_iter': 500, 'solver': 'lbfgs'}",0.8216447134211463,0.8236027055891777,0.8252936988252046,0.8245817016731933,0.8216447134211463,0.8233535065859737,0.0014949821002916332,1
205.83796796798705,20.193178440914895,0.029122066497802735,0.006567517425316263,0.5,500,newton-cg,"{'C': 0.5, 'max_iter': 500, 'solver': 'newton-cg'}",0.8214667141331434,0.8233357066571734,0.8247597009611961,0.8246707013171948,0.8211107155571378,0.823068707725169,0.0015425463896969309,2
63.69001307487488,0.8861361287446602,0.02034287452697754,0.0007963660848146385,0.5,500,sag,"{'C': 0.5, 'max_iter': 500, 'solver': 'sag'}",0.8120327518689925,0.8147027411890353,0.8139017443930224,0.8098967604129583,0.8090067639729441,0.8119081523673906,0.00220288052750517,55
119.48937411308289,1.4215586943777452,0.029321622848510743,0.004259463974871275,0.5,750,lbfgs,"{'C': 0.5, 'max_iter': 750, 'solver': 'lbfgs'}",0.8216447134211463,0.8233357066571734,0.8245817016731933,0.8244927020291919,0.8211107155571378,0.8230331078675684,0.001431317941828035,9
209.55722060203553,18.54576902335673,0.025531625747680663,0.0004884998197418876,0.5,750,newton-cg,"{'C': 0.5, 'max_iter': 750, 'solver': 'newton-cg'}",0.8214667141331434,0.8233357066571734,0.8247597009611961,0.8246707013171948,0.8211107155571378,0.823068707725169,0.0015425463896969309,2
97.92522416114807,1.9042524525667877,0.020145130157470704,0.0007481534652649726,0.5,750,sag,"{'C': 0.5, 'max_iter': 750, 'solver': 'sag'}",0.8166607333570666,0.8184407262370951,0.816749733001068,0.813812744749021,0.8102527589889641,0.8151833392666429,0.0028787498575356305,41
