mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_loss,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17010183334350587,0.0047042453723357275,0.0,0.0,hinge,l1,1e-05,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 1e-05}",,,,,,,,24
0.1677095413208008,0.0006345106958941806,0.0,0.0,hinge,l1,0.0001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.0001}",,,,,,,,22
0.16829466819763184,0.0009012379972905047,0.0,0.0,hinge,l1,0.001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.001}",,,,,,,,21
0.16722984313964845,0.000983646041845556,0.0,0.0,hinge,l1,0.01,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.01}",,,,,,,,20
0.164520263671875,0.0012169907322842754,0.0,0.0,hinge,l1,0.1,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.1}",,,,,,,,19
0.1666022300720215,0.002068448024802607,0.0,0.0,hinge,l1,1,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 1}",,,,,,,,23
16.279384088516235,0.2674308919682615,0.01915321350097656,0.00037556557308805755,hinge,l2,1e-05,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 1e-05}",0.80437878248487,0.8089177643289427,0.8097187611249556,0.8122997508009968,0.8001957992168032,0.8071021715913137,0.004295871856047931,1
16.13330011367798,0.31492825276756786,0.019191741943359375,0.00037845045549204774,hinge,l2,0.0001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.0001}",0.8037557849768601,0.8086507653969384,0.8095407618369527,0.8121217515129939,0.8003737985048059,0.8068885724457102,0.00423750475022043,4
15.952046060562134,0.16784438804358454,0.02005014419555664,0.0009153485198020003,hinge,l2,0.001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.001}",0.8042897828408686,0.808561765752937,0.8092737629049483,0.8122107511569954,0.8000177999288003,0.8068707725169098,0.004260843433102822,5
15.909753131866456,0.17367413697549122,0.019434642791748048,0.00037976523111302754,hinge,l2,0.01,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.01}",0.8040227839088644,0.8088287646849412,0.8090957636169456,0.8120327518689925,0.8006407974368103,0.8069241723033107,0.004058071474996912,3
15.858861541748047,0.23787194728028463,0.019419479370117187,0.0008189949283805088,hinge,l2,0.1,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.1}",0.8045567817728729,0.8092737629049483,0.8090957636169456,0.8120327518689925,0.8002847988608045,0.8070487718049127,0.004145893449217563,2
15.572751998901367,0.263643591034079,0.019167566299438478,0.000512074081020581,hinge,l2,1,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 1}",0.8042897828408686,0.808561765752937,0.8084727661089356,0.8116767532929868,0.7999288002847988,0.8065859736561054,0.004073578943309109,6
0.16413526535034179,0.0010455581891430882,0.0,0.0,squared_hinge,l1,1e-05,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 1e-05}",,,,,,,,13
0.16405348777770995,0.001292079510469901,0.0,0.0,squared_hinge,l1,0.0001,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.0001}",,,,,,,,14
0.1641098976135254,0.0005099698258319327,0.0,0.0,squared_hinge,l1,0.001,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.001}",,,,,,,,15
0.16410574913024903,0.001109496945030599,0.0,0.0,squared_hinge,l1,0.01,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.01}",,,,,,,,16
0.16442270278930665,0.0010137592456468335,0.0,0.0,squared_hinge,l1,0.1,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.1}",,,,,,,,17
0.16306734085083008,0.00046778809148924366,0.0,0.0,squared_hinge,l1,1,"{'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 1}",,,,,,,,18
17.87664484977722,0.07824487740169639,0.01942586898803711,0.0007986376010302791,squared_hinge,l2,1e-05,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 1e-05}",0.8006407974368103,0.8042897828408686,0.80437878248487,0.8083837664649342,0.7941438234247064,0.8023673905304379,0.004786360806044101,9
17.08213586807251,0.7263704473011683,0.018468523025512697,0.0004714275976288198,squared_hinge,l2,0.0001,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.0001}",0.8003737985048059,0.80437878248487,0.8047347810608757,0.8084727661089356,0.7940548237807049,0.8024029903880384,0.004898830163551313,8
16.580111503601074,0.1285185240476758,0.01848154067993164,0.0004288457032018308,squared_hinge,l2,0.001,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.001}",0.8005517977928088,0.8041117835528658,0.8040227839088644,0.8082057671769313,0.7941438234247064,0.8022071911712354,0.004704572028958839,11
16.661679458618163,0.19594831447394,0.018381404876708984,0.00046487483794018896,squared_hinge,l2,0.01,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.01}",0.8006407974368103,0.8047347810608757,0.80437878248487,0.8080277678889285,0.794499822000712,0.8024563901744394,0.004615847938487746,7
16.63246817588806,0.2510213455428388,0.018271923065185547,0.0006445206980288536,squared_hinge,l2,0.1,"{'loss': 'squared_hinge', 'penalty': 'l2', 'tol': 0.1}",0.8003737985048059,0.80437878248487,0.8044677821288715,0.8082947668209327,0.7943218227127091,0.8023673905304378,0.004739128671487641,10
