mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.19129343032836915,0.0013292388724898691,0.019346237182617188,0.0004894019747033346,0.0125,{'alpha': 0.0125},0.8202207191171236,0.8176397294410822,0.8214667141331434,0.8174617301530794,0.8203987184051263,0.819437522249911,0.0015994204246518372,4
0.1930835247039795,0.004951334505002074,0.01914806365966797,0.0003990185591257663,0.025,{'alpha': 0.025},0.8206657173371307,0.8185297258810965,0.8214667141331434,0.8187967248131007,0.8221787112851549,0.8203275186899252,0.001443221915316789,3
0.19169063568115235,0.0007348817350668175,0.01914806365966797,0.0003992560515476093,0.05,{'alpha': 0.05},0.8222677109291563,0.8203987184051263,0.8215557137771449,0.8201317194731221,0.8242257030971876,0.8217159131363475,0.0014747109417734272,2
0.19027748107910156,0.0011663475352369694,0.019557905197143555,0.0004764737985908998,0.1,{'alpha': 0.1},0.8245817016731933,0.822623709505162,0.824314702741189,0.8228017087931648,0.8262726949092204,0.824118903524386,0.0013313109256899538,1
